"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","550030010","3","12.1","ug/m3 LC","51","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/02/2021","AQS","550030010","3","12","ug/m3 LC","50","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/03/2021","AQS","550030010","3","11.2","ug/m3 LC","47","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/04/2021","AQS","550030010","3","19.1","ug/m3 LC","66","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/05/2021","AQS","550030010","3","9.3","ug/m3 LC","39","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/06/2021","AQS","550030010","3","6.9","ug/m3 LC","29","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/07/2021","AQS","550030010","3","6.7","ug/m3 LC","28","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/08/2021","AQS","550030010","3","7.3","ug/m3 LC","30","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/09/2021","AQS","550030010","3","9.9","ug/m3 LC","41","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/10/2021","AQS","550030010","3","10.5","ug/m3 LC","44","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/11/2021","AQS","550030010","3","10.2","ug/m3 LC","43","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/12/2021","AQS","550030010","3","10.8","ug/m3 LC","45","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/13/2021","AQS","550030010","3","11.5","ug/m3 LC","48","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/14/2021","AQS","550030010","3","10.2","ug/m3 LC","43","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/15/2021","AQS","550030010","3","13.1","ug/m3 LC","53","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/16/2021","AQS","550030010","3","1.7","ug/m3 LC","7","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/17/2021","AQS","550030010","3","0.9","ug/m3 LC","4","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/18/2021","AQS","550030010","3","3.2","ug/m3 LC","13","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/19/2021","AQS","550030010","3","2.1","ug/m3 LC","9","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
"01/20/2021","AQS","550030010","3","4.6","ug/m3 LC","19","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.60234","-90.65615"
